t	Theta Leapfrog	Energy 
969	0.1	4685.12
970	96.9	1.88763
971	-0.1	4704.5
972	-97.1	1.96342
973	0.1	4723.92
974	97.3	2.00101
975	-0.1	4743.38
976	-97.5	1.99889
977	0.1	4762.88
978	97.7	1.95714
979	-0.1	4782.42
980	-97.9	1.87744
981	0.1	4802
982	98.1	1.76295
983	-0.1	4821.62
984	-98.3	1.61825
985	0.1	4841.28
986	98.5	1.4491
987	-0.1	4860.98
988	-98.7	1.26224
989	0.1	4880.72
990	98.9	1.06513
991	-0.1	4900.5
992	-99.1	0.865624
993	0.1	4920.32
994	99.3	0.671672
995	-0.1	4940.18
996	-99.5	0.491009
997	0.1	4960.08
998	99.7	0.330837
999	-0.1	4980.02
1000	-99.9	0.197541
