t	Theta Euler	Energy
114.24	0.0657933	0.0167766
114.45	0.0298925	0.0162164
114.66	-0.00740201	0.0155879
114.87	-0.0444484	0.015007
115.08	-0.0796124	0.0145801
115.29	-0.111339	0.014386
115.5	-0.138223	0.0144637
115.71	-0.159067	0.0148067
115.92	-0.17294	0.0153635
116.13	-0.179216	0.0160458
116.34	-0.177602	0.0167423
116.55	-0.168151	0.0173368
116.76	-0.151266	0.0177292
116.97	-0.127674	0.017854
117.18	-0.0984024	0.0176931
117.39	-0.0647296	0.0172804
117.6	-0.0281316	0.0166948
117.81	0.00978394	0.0160459
118.02	0.0473476	0.0154532
118.23	0.0829021	0.015025
118.44	0.114875	0.0148405
118.65	0.14185	0.0149374
118.86	0.162625	0.015306
119.07	0.176272	0.0158908
119.28	0.182175	0.0165989
119.49	0.180056	0.0173146
119.7	0.169991	0.0179186
119.91	0.15241	0.0183088
120.12	0.12807	0.0184203
120.33	0.0980306	0.0182376
120.54	0.0636053	0.0177985
120.75	0.0263028	0.0171871
120.96	-0.012238	0.0165175
121.17	-0.05032	0.0159131
121.38	-0.086263	0.0154843
121.59	-0.118477	0.0153105
121.8	-0.145534	0.0154276
122.01	-0.16623	0.0158228
122.22	-0.179638	0.0164364
122.43	-0.185153	0.0171709
122.64	-0.182514	0.017906
122.85	-0.17182	0.018519
123.06	-0.153527	0.0189064
123.27	-0.128425	0.0190036
123.48	-0.0976066	0.0187979
123.69	-0.062419	0.0183315
123.9	-0.0244048	0.0176936
124.11	0.0147655	0.0170032
124.32	0.0533668	0.0163873
124.53	0.0896958	0.0159585
124.74	0.122145	0.0157963
124.95	0.149277	0.0159348
125.16	0.169882	0.0163578
125.37	0.183038	0.0170011
125.58	0.18815	0.0177624
125.79	0.184976	0.018517
126	0.173637	0.0191386
126.21	0.154618	0.0195224
126.42	0.128739	0.0196042
126.63	0.097129	0.0193745
126.84	0.0611691	0.0188798
127.05	0.0224361	0.0182147
127.26	-0.0173677	0.0175033
127.47	-0.0564891	0.0168763
127.68	-0.0932015	0.0164483
127.89	-0.125881	0.0162986
128.1	-0.153077	0.0164596
128.31	-0.17358	0.0169114
128.52	-0.186472	0.0175854
128.73	-0.191166	0.0183741
128.94	-0.187441	0.0191482
129.15	-0.175441	0.0197781
129.36	-0.155679	0.0201573
129.57	-0.12901	0.0202227
129.78	-0.0965962	0.0199677
129.99	-0.059854	0.0194438
130.2	-0.0203952	0.0187509
130.41	0.0200459	0.0180183
130.62	0.059688	0.0173805
130.83	0.096781	0.016954
131.04	0.129684	0.0168181
131.25	0.156937	0.0170027
131.46	0.177326	0.0174845
131.67	0.189938	0.01819
131.88	0.1942	0.0190066
132.09	0.189907	0.0198003
132.3	0.17723	0.020438
132.51	0.156711	0.0208118
132.72	0.129237	0.0208596
132.93	0.0960066	0.0205781
133.14	0.0584724	0.0200239
133.35	0.0182807	0.0193026
133.56	-0.0228016	0.0185487
133.77	-0.0629646	0.0179005
133.98	-0.100435	0.0174763
134.19	-0.133555	0.0173552
134.4	-0.160855	0.0175647
134.61	-0.181119	0.0180777
134.82	-0.193437	0.0188157
135.03	-0.197251	0.0196607
135.24	-0.192375	0.0204739
135.45	-0.179004	0.0211189
135.66	-0.157711	0.0214863
135.87	-0.129418	0.0215153
136.08	-0.0953588	0.0212061
136.29	-0.0570226	0.0206206
136.5	-0.0160911	0.0198703
136.71	0.0256359	0.019095
136.92	0.0663201	0.0184368
137.13	0.104165	0.0180159
