t	Theta Euler	Energy
3.93	-0.0541127	0.00262917
3.94	-0.05363	0.00262472
3.95	-0.0531429	0.00262019
3.96	-0.0526513	0.00261557
3.97	-0.0521554	0.00261087
3.98	-0.0516553	0.00260608
3.99	-0.0511509	0.00260121
4	-0.0506424	0.00259625
4.01	-0.0501298	0.00259121
4.02	-0.0496131	0.00258608
4.03	-0.0490925	0.00258087
4.04	-0.0485679	0.00257558
4.05	-0.0480395	0.00257021
4.06	-0.0475072	0.00256475
4.07	-0.0469713	0.00255922
4.08	-0.0464316	0.00255361
4.09	-0.0458884	0.00254791
4.1	-0.0453416	0.00254214
4.11	-0.0447912	0.0025363
4.12	-0.0442375	0.00253037
4.13	-0.0436804	0.00252438
4.14	-0.04312	0.00251831
4.15	-0.0425563	0.00251216
4.16	-0.0419894	0.00250594
4.17	-0.0414194	0.00249965
4.18	-0.0408464	0.0024933
4.19	-0.0402704	0.00248687
4.2	-0.0396914	0.00248037
4.21	-0.0391096	0.00247381
4.22	-0.0385249	0.00246718
4.23	-0.0379375	0.00246049
4.24	-0.0373475	0.00245374
4.25	-0.0367548	0.00244692
4.26	-0.0361596	0.00244004
4.27	-0.0355619	0.0024331
4.28	-0.0349617	0.00242611
4.29	-0.0343593	0.00241906
4.3	-0.0337545	0.00241195
4.31	-0.0331475	0.00240479
4.32	-0.0325383	0.00239757
4.33	-0.031927	0.00239031
4.34	-0.0313138	0.00238299
4.35	-0.0306985	0.00237563
4.36	-0.0300813	0.00236822
4.37	-0.0294623	0.00236076
4.38	-0.0288416	0.00235326
4.39	-0.0282191	0.00234572
4.4	-0.027595	0.00233814
4.41	-0.0269693	0.00233052
4.42	-0.0263421	0.00232286
4.43	-0.0257135	0.00231516
4.44	-0.0250835	0.00230743
4.45	-0.0244522	0.00229966
4.46	-0.0238196	0.00229187
4.47	-0.0231858	0.00228404
4.48	-0.022551	0.00227619
4.49	-0.0219151	0.00226831
4.5	-0.0212782	0.0022604
4.51	-0.0206404	0.00225247
4.52	-0.0200017	0.00224452
4.53	-0.0193622	0.00223655
4.54	-0.0187221	0.00222856
4.55	-0.0180812	0.00222056
4.56	-0.0174398	0.00221253
4.57	-0.0167979	0.0022045
4.58	-0.0161555	0.00219645
4.59	-0.0155127	0.0021884
4.6	-0.0148695	0.00218033
4.61	-0.0142262	0.00217226
4.62	-0.0135826	0.00216418
4.63	-0.0129388	0.0021561
4.64	-0.012295	0.00214802
4.65	-0.0116512	0.00213994
4.66	-0.0110075	0.00213186
4.67	-0.0103638	0.00212378
4.68	-0.00972041	0.00211571
4.69	-0.00907722	0.00210764
4.7	-0.00843434	0.00209958
4.71	-0.00779185	0.00209153
4.72	-0.00714979	0.00208349
4.73	-0.00650824	0.00207547
4.74	-0.00586726	0.00206746
4.75	-0.00522691	0.00205947
4.76	-0.00458725	0.00205149
4.77	-0.00394835	0.00204353
4.78	-0.00331027	0.0020356
4.79	-0.00267307	0.00202769
4.8	-0.00203681	0.0020198
4.81	-0.00140156	0.00201193
4.82	-0.000767376	0.0020041
4.83	-0.000134319	0.00199629
4.84	0.000497548	0.00198851
4.85	0.00112817	0.00198077
4.86	0.00175747	0.00197305
4.87	0.00238541	0.00196537
4.88	0.00301191	0.00195773
4.89	0.00363692	0.00195013
4.9	0.00426038	0.00194256
4.91	0.00488223	0.00193503
4.92	0.00550241	0.00192755
4.93	0.00612086	0.0019201
4.94	0.00673752	0.00191271
4.95	0.00735234	0.00190535
4.96	0.00796526	0.00189805
4.97	0.00857621	0.00189079
4.98	0.00918515	0.00188358
4.99	0.00979201	0.00187642
5	0.0103967	0.00186931
5.01	0.0109993	0.00186226
5.02	0.0115996	0.00185526
5.03	0.0121976	0.00184831
5.04	0.0127932	0.00184142
5.05	0.0133864	0.00183459
5.06	0.0139772	0.00182782
5.07	0.0145654	0.0018211
5.08	0.0151511	0.00181445
5.09	0.0157341	0.00180786
5.1	0.0163145	0.00180133
5.11	0.0168921	0.00179486
5.12	0.017467	0.00178846
5.13	0.018039	0.00178212
5.14	0.0186081	0.00177585
5.15	0.0191742	0.00176964
5.16	0.0197374	0.0017635
5.17	0.0202975	0.00175743
5.18	0.0208546	0.00175143
5.19	0.0214085	0.0017455
5.2	0.0219591	0.00173964
5.21	0.0225066	0.00173385
5.22	0.0230508	0.00172813
5.23	0.0235916	0.00172248
5.24	0.024129	0.00171691
5.25	0.024663	0.00171141
5.26	0.0251936	0.00170598
5.27	0.0257206	0.00170063
5.28	0.026244	0.00169535
5.29	0.0267638	0.00169015
5.3	0.0272799	0.00168503
5.31	0.0277924	0.00167998
5.32	0.028301	0.001675
5.33	0.0288059	0.00167011
5.34	0.029307	0.00166529
5.35	0.0298041	0.00166054
5.36	0.0302974	0.00165588
5.37	0.0307866	0.00165129
5.38	0.0312719	0.00164678
5.39	0.0317531	0.00164235
5.4	0.0322302	0.001638
5.41	0.0327032	0.00163372
5.42	0.033172	0.00162952
5.43	0.0336366	0.0016254
5.44	0.034097	0.00162136
5.45	0.0345531	0.0016174
5.46	0.0350048	0.00161351
5.47	0.0354523	0.00160971
5.48	0.0358953	0.00160598
5.49	0.0363338	0.00160233
5.5	0.0367679	0.00159875
5.51	0.0371975	0.00159526
5.52	0.0376226	0.00159184
5.53	0.0380431	0.0015885
5.54	0.038459	0.00158523
5.55	0.0388703	0.00158204
5.56	0.0392769	0.00157893
5.57	0.0396788	0.00157589
5.58	0.0400759	0.00157293
5.59	0.0404683	0.00157004
5.6	0.0408559	0.00156723
5.61	0.0412387	0.00156449
5.62	0.0416167	0.00156182
5.63	0.0419897	0.00155923
5.64	0.0423579	0.00155671
5.65	0.0427211	0.00155426
5.66	0.0430793	0.00155188
5.67	0.0434326	0.00154957
5.68	0.0437808	0.00154733
5.69	0.044124	0.00154517
5.7	0.0444622	0.00154307
5.71	0.0447952	0.00154103
5.72	0.0451232	0.00153907
5.73	0.045446	0.00153717
5.74	0.0457636	0.00153534
5.75	0.0460761	0.00153357
5.76	0.0463834	0.00153186
5.77	0.0466854	0.00153022
5.78	0.0469822	0.00152864
5.79	0.0472737	0.00152712
5.8	0.04756	0.00152567
5.81	0.047841	0.00152427
5.82	0.0481166	0.00152293
5.83	0.0483869	0.00152165
5.84	0.0486519	0.00152042
5.85	0.0489114	0.00151925
5.86	0.0491656	0.00151814
5.87	0.0494144	0.00151708
5.88	0.0496578	0.00151607
5.89	0.0498958	0.00151511
5.9	0.0501283	0.00151421
5.91	0.0503554	0.00151335
5.92	0.050577	0.00151255
5.93	0.0507931	0.00151179
5.94	0.0510037	0.00151107
5.95	0.0512088	0.0015104
5.96	0.0514085	0.00150978
5.97	0.0516025	0.0015092
5.98	0.0517911	0.00150866
5.99	0.0519741	0.00150816
