t	Theta RK	Energy 
123.2	-0.0779702	0.00499574
123.4	-0.0639851	0.00499657
123.6	-0.0474492	0.00499706
123.8	-0.0290217	0.00499723
124	-0.00943729	0.00499726
124.2	0.0105234	0.00499725
124.4	0.0300645	0.00499722
124.6	0.048407	0.00499702
124.8	0.0648198	0.00499651
125	0.0786484	0.00499564
125.2	0.0893416	0.00499458
125.4	0.0964732	0.00499362
125.6	0.0997588	0.0049931
125.8	0.0990674	0.00499321
126	0.0944266	0.0049939
126.2	0.0860215	0.00499493
126.4	0.074187	0.00499594
126.6	0.059395	0.00499668
126.8	0.0422352	0.00499706
127	0.0233917	0.00499718
127.2	0.00361562	0.00499719
127.4	-0.0163045	0.00499718
127.6	-0.0355747	0.00499711
127.8	-0.0534266	0.00499684
128	-0.0691486	0.00499622
128.2	-0.0821139	0.00499527
128.4	-0.0918057	0.0049942
128.6	-0.0978376	0.00499334
128.8	-0.0999691	0.00499299
129	-0.0981152	0.00499329
129.2	-0.0923499	0.00499411
129.4	-0.082903	0.00499517
129.6	-0.0701512	0.00499613
129.8	-0.0546027	0.00499676
130	-0.0368774	0.00499705
130.2	-0.017682	0.00499712
130.4	0.00221828	0.00499712
130.6	0.0220301	0.0049971
130.8	0.0409637	0.00499699
131	0.0582642	0.00499662
131.2	0.0732419	0.0049959
131.4	0.0852998	0.00499489
131.6	0.0939571	0.00499384
131.8	0.0988688	0.00499311
132	0.0998389	0.00499294
132.2	0.0968289	0.00499342
132.4	0.0899588	0.00499435
132.6	0.0795023	0.0049954
132.8	0.0658765	0.00499628
133	0.0496245	0.00499681
133.2	0.0313941	0.00499702
133.4	0.0119122	0.00499705
133.6	-0.00804454	0.00499705
133.8	-0.0276806	0.00499702
134	-0.0462131	0.00499685
134.2	-0.0629033	0.00499638
134.4	-0.0770857	0.00499556
134.6	-0.0881951	0.0049945
134.8	-0.0957885	0.00499351
135	-0.0995632	0.00499292
135.2	-0.0993688	0.00499295
135.4	-0.0952129	0.00499358
135.6	-0.0872613	0.00499459
135.8	-0.0758309	0.00499562
136	-0.0613776	0.0049964
136.2	-0.0444773	0.00499683
136.4	-0.025804	0.00499697
136.6	-0.00610194	0.00499698
136.8	0.0138433	0.00499697
137	0.0332367	0.00499692
137.2	0.0513051	0.00499668
137.4	0.0673281	0.00499611
137.6	0.080667	0.00499519
137.8	0.09079	0.00499412
138	0.0972937	0.00499322
138.2	0.0999186	0.00499279
138.4	0.0985602	0.00499301
138.6	0.0932726	0.00499378
138.8	0.0842667	0.00499483
139	0.0719014	0.00499581
139.2	0.0566697	0.00499649
139.4	0.0391788	0.00499682
139.6	0.020126	0.00499691
139.8	0.000270968	0.00499691
140	-0.0195949	0.0049969
140.2	-0.0386796	0.00499681
140.4	-0.0562222	0.00499648
140.6	-0.0715235	0.0049958
140.8	-0.0839735	0.00499482
141	-0.0930758	0.00499376
141.2	-0.0984675	0.00499296
141.4	-0.0999337	0.00499272
141.6	-0.097416	0.00499312
141.8	-0.0910148	0.00499401
142	-0.0809851	0.00499507
142.2	-0.067727	0.00499598
142.4	-0.0517688	0.00499655
142.6	-0.0337469	0.00499679
142.8	-0.0143796	0.00499684
143	0.00556084	0.00499684
143.2	0.0252796	0.00499682
143.4	0.0439906	0.00499667
143.6	0.0609479	0.00499625
143.8	0.0754754	0.00499547
144	0.0869939	0.00499443
144.2	0.0950445	0.00499341
144.4	0.0993059	0.00499276
144.6	0.0996085	0.0049927
144.8	0.0959401	0.00499327
145	0.088447	0.00499425
145.2	0.0774278	0.00499529
145.4	0.063322	0.00499612
145.6	0.0466918	0.00499658
145.8	0.0282002	0.00499675
146	0.00858437	0.00499677
146.2	-0.0113736	0.00499677
146.4	-0.0308782	0.00499673
146.6	-0.0491518	0.00499652
146.8	-0.0654659	0.00499599
147	-0.0791701	0.00499511
147.2	-0.0897181	0.00499405
147.4	-0.0966895	0.0049931
147.6	-0.0998062	0.0049926
147.8	-0.0989441	0.00499274
148	-0.0941375	0.00499346
148.2	-0.085578	0.00499449
148.4	-0.0736069	0.0049955
148.6	-0.0587014	0.00499622
148.8	-0.0414558	0.00499659
149	-0.0225575	0.0049967
149.2	-0.00275994	0.0049967
149.4	0.0171476	0.00499669
149.6	0.0363716	0.00499662
149.8	0.0541455	0.00499633
150	0.0697609	0.0049957
150.2	0.0825952	0.00499474
150.4	0.0921367	0.00499367
150.6	0.0980052	0.00499283
150.8	0.0999665	0.00499251
151	0.0979427	0.00499283
151.2	0.0920143	0.00499367
151.4	0.0824176	0.00499473
151.6	0.0695354	0.00499568
151.8	0.053881	0.00499629
152	0.0360787	0.00499657
152.2	0.0168381	0.00499663
152.4	-0.0030738	0.00499663
152.6	-0.0228631	0.00499662
152.8	-0.041741	0.0049965
153	-0.0589547	0.00499611
153.2	-0.0738182	0.00499538
153.4	-0.0857389	0.00499436
153.6	-0.0942415	0.00499332
153.8	-0.0989871	0.0049926
154	-0.0997865	0.00499247
154.2	-0.0966078	0.00499296
154.4	-0.0895777	0.00499391
154.6	-0.0789766	0.00499496
154.8	-0.0652271	0.00499582
155	-0.0488772	0.00499634
155.2	-0.0305788	0.00499653
155.4	-0.0110614	0.00499656
155.6	0.008897	0.00499656
155.8	0.0285007	0.00499653
156	0.0469681	0.00499635
156.2	0.0635631	0.00499587
156.4	0.0776242	0.00499503
156.6	0.0885906	0.00499397
156.8	0.0960253	0.00499299
157	0.0996319	0.00499243
157.2	0.0992665	0.00499248
157.4	0.0949439	0.00499314
157.6	0.0868362	0.00499415
157.8	0.0752667	0.00499518
158	0.0606967	0.00499594
158.2	0.043707	0.00499635
158.4	0.0249749	0.00499648
158.6	0.0052471	0.00499649
158.8	-0.0146898	0.00499649
159	-0.0340411	0.00499643
159.2	-0.0520353	0.00499618
159.4	-0.067955	0.00499559
159.6	-0.0811657	0.00499466
159.8	-0.0911406	0.00499359
160	-0.0974821	0.0049927
160.2	-0.0999374	0.0049923
160.4	-0.0984086	0.00499255
160.6	-0.0929567	0.00499334
160.8	-0.083799	0.00499439
161	-0.0713006	0.00499536
161.2	-0.0559597	0.00499603
161.4	-0.038388	0.00499634
161.6	-0.0192859	0.00499642
161.8	0.000584962	0.00499642
162	0.0204325	0.00499641
162.2	0.0394655	0.00499631
